"bulletland","x","sd","ccf","bullet","land","meantree","meanforest","maxtree","maxforest","foundmatch"
"Ukn Bullet B-2",350,1.59217837897157,0.864503219305132,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",375,1.52313025194878,0.671823880288982,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",400,1.76956959087673,0.483901623488557,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",425,1.77934616938775,0.681622214691435,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",450,1.9493458382155,0.368238003513894,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",475,1.36164226172531,0.731368960114997,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-2",500,1.46202330576302,NA,"Ukn Bullet B","2",0.00452147701582517,0.0701566951566951,0.00452147701582517,0.094017094017094,FALSE
"Ukn Bullet B-3",25,1.60687372691386,0.367553288922593,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",50,2.16382416844104,0.640863244895778,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",75,2.14161205267981,0.650283708357427,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",100,2.07452983418352,0.780918762208162,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",125,2.50434987076324,0.671793585429007,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",150,1.94230027436721,0.622552864163809,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",175,2.10042298976049,0.799787314737736,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",200,1.45112288622311,0.968959708670672,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",225,1.34761435434924,0.973581747099155,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",250,1.28912846233759,0.9931944652825,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",275,1.27812052442981,0.985607731076449,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",300,1.27467696964687,0.972701537049006,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",325,1.2559706581535,0.614521041029993,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",350,1.72251134393375,0.941669847769241,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",375,1.68571708033657,0.92293154601031,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",400,1.43496293188235,0.238911172234042,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",425,1.47247988605232,0.866945594180834,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
"Ukn Bullet B-3",450,1.56481956297866,0.886627040844823,"Ukn Bullet B","3",0.00452147701582517,0.0353535353535354,0.00452147701582517,0.0707070707070707,FALSE
