"b2","b1","ccf","lag","D","sd.D","x1","x2","num.matches","num.mismatches","cms","cms2","non_cms","left_cms","right_cms","left_noncms","right_noncms","sumpeaks","data","resID","id.x","id.y","match","span","forest"
"Ukn Bullet B-1","Br8 Bullet 2-1",0.471469623838825,203,1.99482077621739,2.01656448510291,225,125,9,15,3,2,7,0,2,3,0,11.1036399221986,"data-new-25-25/unkn1.RData",103,43,38,FALSE,25,0
"Ukn Bullet B-1","Br5 Bullet 2-5",0.246435294432378,40,1.31139605520569,1.67926137624783,125,125,3,26,1,1,11,0,0,9,11,2.69870043118029,"data-new-25-25/unkn1.RData",71,21,38,FALSE,25,0
"Ukn Bullet B-1","Br5 Bullet 2-2",0.300035862431473,99,1.62684354007652,1.74829223966764,125,125,2,20,1,0,11,0,0,7,2,1.71917154109939,"data-new-25-25/unkn1.RData",68,24,38,FALSE,25,0
"Ukn Bullet B-1","Br3 Bullet 1-3",0.18711042372369,343,3.18858115019194,2.25361118975392,150,125,2,21,1,1,16,0,0,16,4,2.64373668094712,"data-new-25-25/unkn1.RData",39,15,38,FALSE,25,0
"Ukn Bullet B-1","Br6 Bullet 2-6",0.267299276055605,241,1.22272818035488,1.58142387351633,125,125,6,18,2,1,6,0,0,3,1,4.23326234491312,"data-new-25-25/unkn1.RData",84,27,38,FALSE,25,0
"Ukn Bullet B-1","Br5 Bullet 2-6",0.163886333333952,242,1.88932245494591,1.80202531529522,150,125,5,14,3,2,9,0,0,2,2,3.10174586098209,"data-new-25-25/unkn1.RData",72,22,38,FALSE,25,0
"Ukn Bullet B-1","Br9 Bullet 2-6",0.239299832749928,180,0.545869644822457,1.14052396221348,175,125,8,22,2,1,10,0,0,2,3,4.12400294172672,"data-new-25-25/unkn1.RData",120,53,38,FALSE,25,0
"Ukn Bullet B-1","Br7 Bullet 1-3",0.188786159649787,150,2.24887210297993,2.06131170673804,200,125,2,26,1,1,20,0,0,20,3,3.06701080697778,"data-new-25-25/unkn1.RData",87,33,38,FALSE,25,0
"Ukn Bullet B-1","Br2 Bullet 1-5",0.287314170354395,289,1.39409105810691,1.79738193412591,100,125,7,23,4,2,10,0,0,3,4,7.40762687281833,"data-new-25-25/unkn1.RData",29,11,38,FALSE,25,0
"Ukn Bullet B-1","Br8 Bullet 1-3",0.278198226673197,151,1.30962304962239,1.6256360469517,150,125,2,21,1,1,11,0,0,9,11,1.11317360760867,"data-new-25-25/unkn1.RData",99,45,38,FALSE,25,0
"Ukn Bullet B-1","Br7 Bullet 1-4",0.158091401180415,25,2.59943602952826,2.03546088767141,125,125,2,20,1,1,9,0,0,5,9,1.41610862381265,"data-new-25-25/unkn1.RData",88,34,38,FALSE,25,0
"Ukn Bullet B-1","Br3 Bullet 2-3",0.41817111311051,117,0.912851405840702,1.49984140899344,175,125,6,22,2,1,9,0,0,4,2,4.16113481860899,"data-new-25-25/unkn1.RData",45,13,38,FALSE,25,0
"Ukn Bullet B-1","Br7 Bullet 1-5",0.204070590433492,146,2.58979318534669,2.49080871608751,175,125,5,17,2,1,10,0,0,2,10,3.17957387659114,"data-new-25-25/unkn1.RData",89,35,38,FALSE,25,0
