"b2","b1","ccf","lag","D","sd.D","x1","x2","num.matches","num.nonmatches","CNMS","S","CMS","data","resID","id.x","id.y","match","span","pred","forest","flagged","bullet"
"Ukn Bullet B-1","Br5 Bullet 1-2",0.452604567399959,49,1.62678438450038,1.84664631466229,150,125,2,25,13,2.82316245922521,1,"data-25-25/unkn1.RData",62,20,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 2-2",0.160892838580491,12,1.33233642140056,1.68033800868517,200,125,8,19,8,6.67787698822677,4,"data-25-25/unkn1.RData",20,60,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 1-6",0.283978088262905,222,0.909999114655093,1.4246502095211,125,125,9,16,4,4.74228813823451,6,"data-25-25/unkn1.RData",102,48,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 2-3",0.269072360269749,158,3.28352746009947,2.66967413048947,250,125,2,16,9,1.85494946089133,2,"data-25-25/unkn1.RData",105,45,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br5 Bullet 2-4",0.415245477590661,48,1.28379197837569,1.70156791887919,150,125,7,24,11,5.58118644976469,3,"data-25-25/unkn1.RData",70,20,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 1-5",0.204070590433592,146,2.58979318534661,2.49080871608747,175,125,5,17,10,3.17957387659129,2,"data-25-25/unkn1.RData",89,35,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 2-6",0.281253201176533,227,3.82205916761059,2.44613830692867,100,125,9,15,4,12.8247641239227,3,"data-25-25/unkn1.RData",108,48,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br5 Bullet 1-1",0.139441733612756,266,1.00799863491914,1.39353885768697,150,125,2,22,17,0.572617283879315,2,"data-25-25/unkn1.RData",61,19,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 2-3",0.355887930105236,125,1.08531787836786,1.69742800585227,125,125,11,15,6,8.03775078497658,4,"data-25-25/unkn1.RData",33,8,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 1-5",0.258742424952806,283,1.1137327538763,1.55718573090436,100,125,3,21,10,1.81542468605539,1,"data-25-25/unkn1.RData",101,47,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 2-1",0.294614640722837,189,1.47755814848667,1.7192915264667,175,125,3,17,11,2.19193032451682,1,"data-25-25/unkn1.RData",55,41,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 2-4",0.315063471603081,235,2.79372183684842,2.18558695225202,125,125,3,16,6,2.75497329621951,1,"data-25-25/unkn1.RData",46,14,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br4 Bullet 2-4",0.71878203004532,204,0.135994672435515,0.931860707070302,175,125,13,12,6,6.93128318897697,8,"data-25-25/unkn1.RData",58,38,38,TRUE,25,0.875,0.83,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 2-2",0.194306741905862,75,0.77137064655959,1.27385250741803,175,125,7,23,8,4.77537961535092,4,"data-25-25/unkn1.RData",44,18,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br2 Bullet 2-2",0.322508313454735,341,3.30709135442497,2.26949878357819,150,125,4,24,8,1.97142063493882,1,"data-25-25/unkn1.RData",32,7,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 2-3",0.164943503550541,64,0.705201020120022,1.20276208443353,125,125,8,24,6,6.91407019952296,4,"data-25-25/unkn1.RData",21,55,38,FALSE,25,0.00323624595469256,0.00666666666666667,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 1-3",0.188786159649806,150,2.24887210297983,2.06131170673803,200,125,2,26,20,3.06701080697767,1,"data-25-25/unkn1.RData",87,33,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 1-5",0.0560358045719268,177,0.694243678413732,1.1750693089697,225,125,7,16,9,3.35356568541157,2,"data-25-25/unkn1.RData",113,53,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 1-3",0.307484281634179,130,1.11393326342068,1.55299966171093,225,125,2,22,10,1.72507902910111,1,"data-25-25/unkn1.RData",75,27,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 1-2",0.325430004774112,243,2.03100526547643,1.91525196627128,125,125,4,16,7,3.01869512999635,1,"data-25-25/unkn1.RData",38,14,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 1-2",0.299786980746537,75,1.33547634347689,1.85459786627546,150,125,4,24,12,2.63840562614128,3,"data-25-25/unkn1.RData",74,26,38,FALSE,25,0.00323624595469256,0,FALSE,"Ukn Bullet B"
