"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match","pred","forest","bullet"
"Ukn Bullet B-1","Br1 Bullet 2-6",0.255229708172001,361,0.920510004419453,1.39245156416904,100,125,5,34,15,6.1190353453764,4,"data-15-25/unkn1.RData",12,4,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br9 Bullet 2-1",0.314175094317971,203,1.90193330915051,1.90402619582405,175,125,5,23,17,3.87452148357509,3,"data-15-25/unkn1.RData",115,54,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br7 Bullet 2-6",0.257133476089247,304,0.728818186869991,1.38120990640944,100,125,5,34,19,4.50332484927382,2,"data-15-25/unkn1.RData",96,35,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br10 Bullet 1-3",0.23935110846537,139,7.45161911194368,3.15741121999874,350,125,6,37,21,10.3420995599403,2,"data-15-25/unkn1.RData",15,57,38,FALSE,0.00405087140838436,0.0666666666666667,"Ukn Bullet B"
"Ukn Bullet B-1","Br8 Bullet 2-6",0.281253201176451,227,3.82205916761076,2.44613830692869,100,125,8,25,9,5.80167397239324,5,"data-15-25/unkn1.RData",108,48,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 2-3",0.192574793357878,83,2.27700027050908,2.49465768632721,200,125,4,36,18,2.48546838020366,2,"data-15-25/unkn1.RData",81,30,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br5 Bullet 2-1",0.301339782738936,237,0.389236301926836,1.0585358573007,150,125,13,24,9,6.35354821329341,4,"data-15-25/unkn1.RData",67,23,38,FALSE,0.00405087140838436,0.037037037037037,"Ukn Bullet B"
"Ukn Bullet B-1","Br1 Bullet 2-1",0.449654858823215,88,1.4683191166328,1.80486889002933,100,125,4,30,17,4.42497020337718,4,"data-15-25/unkn1.RData",7,5,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br5 Bullet 1-5",0.231315314760635,236,0.391440908572761,0.993620189957217,175,125,8,32,12,2.16634997514587,4,"data-15-25/unkn1.RData",65,23,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 1-6",0.369544400514176,85,0.510508662329975,1.16118689397917,125,125,3,39,31,2.1730898073682,3,"data-15-25/unkn1.RData",42,18,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br6 Bullet 1-3",0.307484281634216,130,1.11393326342065,1.55299966171094,225,125,10,34,9,6.83219733426196,3,"data-15-25/unkn1.RData",75,27,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
"Ukn Bullet B-1","Br3 Bullet 1-2",0.325430004774102,243,2.03100526547649,1.9152519662713,125,125,3,26,13,3.1765125217983,2,"data-15-25/unkn1.RData",38,14,38,FALSE,0.00405087140838436,0,"Ukn Bullet B"
