"b2","b1","ccf","lag","distr.dist","distr.sd","x1","x2","num.matches","num.mismatches","non_cms","sumpeaks","cms","data","resID","id.x","id.y","match","span","pred","forest"
"Ukn Bullet B-1","Br8 Bullet 1-3",0.278198226673322,151,1.30962304962232,1.6256360469517,150,125,4,24,11,2.45887350785352,1,"data-20-25/unkn1.RData",99,45,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br2 Bullet 1-1",0.341284656618497,317,1.28453135809354,1.65475110816046,150,125,10,23,7,9.12612034651845,7,"data-20-25/unkn1.RData",25,7,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br3 Bullet 1-3",0.18711042372372,343,3.18858115019195,2.25361118975391,150,125,5,25,14,5.32740589536891,4,"data-20-25/unkn1.RData",39,15,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br1 Bullet 2-6",0.255229708171961,361,0.920510004419413,1.39245156416899,100,125,5,26,11,5.42193148793485,3,"data-20-25/unkn1.RData",12,4,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br1 Bullet 2-4",0.238978186806103,223,0.670461472688973,1.25851006837427,150,125,9,19,7,7.18983031636738,2,"data-20-25/unkn1.RData",10,2,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br3 Bullet 2-6",0.343786718268037,1,3.08087904724147,2.37234108511628,125,125,2,27,22,1.26633829433719,2,"data-20-25/unkn1.RData",48,16,38,FALSE,20,0.00468911188220951,0.0163934426229508
"Ukn Bullet B-1","Br1 Bullet 1-2",0.302026376653476,289,0.611736815300268,1.24861490150158,100,125,8,27,8,3.91249223736038,2,"data-20-25/unkn1.RData",2,2,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br2 Bullet 1-5",0.287314170354444,289,1.39409105810682,1.79738193412589,100,125,7,24,10,6.7789309847264,4,"data-20-25/unkn1.RData",29,11,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br7 Bullet 1-1",0.31779895180392,377,2.55158055279266,2.09997292451005,125,125,3,20,14,4.48943870917692,3,"data-20-25/unkn1.RData",85,31,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br6 Bullet 1-6",0.258793945075379,83,1.69063024032523,1.79866393273072,125,125,6,25,12,5.32610504026953,3,"data-20-25/unkn1.RData",78,30,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br1 Bullet 1-1",0.351600672609188,306,1.30390583603543,1.68593847974135,100,125,2,25,16,1.42626606603257,1,"data-20-25/unkn1.RData",1,1,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br5 Bullet 1-6",0.288633700595242,86,1.50707113916833,1.67635582207045,150,125,6,23,9,3.0347531975516,2,"data-20-25/unkn1.RData",66,24,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br10 Bullet 1-4",0.31143031231626,221,3.24172685636804,2.69192533329546,175,125,5,23,8,9.50095873392844,3,"data-20-25/unkn1.RData",16,58,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br2 Bullet 2-1",0.210540424835415,328,1.76885288506636,1.84473118329379,175,125,10,27,10,8.16880917003629,4,"data-20-25/unkn1.RData",31,12,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br1 Bullet 2-5",0.372392788840147,195,1.70853859188683,1.86194114682202,125,125,5,25,12,5.28977982681139,3,"data-20-25/unkn1.RData",11,3,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br9 Bullet 2-1",0.314175094317971,203,1.90193330915062,1.90402619582409,175,125,6,22,12,6.69472107132777,3,"data-20-25/unkn1.RData",115,54,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br1 Bullet 2-2",0.17153479727613,116,3.54585421069303,2.30659651964894,175,125,4,28,12,6.96024247333632,1,"data-20-25/unkn1.RData",8,6,38,FALSE,20,0.00468911188220951,0
"Ukn Bullet B-1","Br2 Bullet 2-4",0.240719642215261,190,1.21824785191346,1.58597300198469,175,125,12,20,6,9.11655731860048,5,"data-20-25/unkn1.RData",34,9,38,FALSE,20,0.00468911188220951,0
